Spectroscopic evidence of odd frequency superconducting order
Fermi arc plasmons in Weyl semimetals
Enhanced Piezoelectric Response in Hybrid Lead Halide Perovskite Thin  Films via Interfacing with Ferroelectric PbZr$_{0.2}$Ti$_{0.8}$O$_3$
Infrared ellipsometry study of the photo-generated charge carriers at  the (001) and (110) surfaces of SrTiO$_3$ crystals and the interface of  corresponding LaAlO$_3$/SrTiO$_3$ heterostructures
Ising Antiferromagnet in the 2D Hubbard Model with Mismatched Fermi  Surfaces
Internal structure and stability of vortices in a dipolar spinor  Bose-Einstein condensate
Monte Carlo particle transport in random media: the effects of mixing  statistics
Anomalous current in diffusive ferromagnetic Josephson junctions
Electric Switching of Fluorescence Decay in Gold-Silica-Dye Nematic  Nanocolloids Mediated by Surface Plasmons
Influence of lattice structure on multipole interactions in $Γ_3$  non-Kramers doublet systems
Effects of an Additional Conduction Band on Singlet-Antiferromagnet  Competition in the Periodic Anderson Model
Gate tunable current partition in graphene based topological zero lines
Anomalous Spin Correlations and Mass-Generating Excitonic Instability of  Interacting Weyl Fermions
Competition of the Coulomb and hopping based exchange interactions in  granular magnets
Observation of stable Neel skyrmions in Co/Pd multilayers with Lorentz  transmission electron microscopy
Tunable terahertz reflection of graphene via ionic liquid gating
Localized surface plasmon resonance in graphene nanomesh with Au  nanostructures
Ultrasonic preparation of mesoporous silica using pyridinium ionic  liquid
Structural characterization of magnetoferritin
Continuous Tuning the Magnitude and Direction of Spin-Orbit Torque Using  Bilayer Heavy Metals
The validity of the no-pumping theorem in systems with finite-range  interactions between particles
Exact zero modes in twisted Kitaev chains
Change in flexibility of DNA with binding ligands
Prediction of a Mobile Solid State in Dense Hydrogen under High  Pressures
Superzone gap formation and low lying crystal electric field levels in  PrPd$_2$Ge$_2$ single crystal
Capacitor physics in ultra-near-field heat transfer
Collective modes in the paramagnetic phase of the Hubbard model
Strain Controlled Spin and Charge Pumping in Graphene Devices via  Spin-orbit Coupled Barriers
