Thermal inclusions: how one spin can destroy a many-body localized phase
Electrical switching of magnetic polarity in a multiferroic BiFeO3  device at room temperature
Collective excitations and supersolid behavior of bosonic atoms inside  two crossed optical cavities
Mobility in excess of $10^{6}$ cm$^2$/Vs in InAs quantum wells grown on  lattice mismatched InP substrates
On the numerical solution of a variable-coefficient Burgers equation  arising in granular segregation
Switching of Magnetic Moments of Nanoparticles by Surface Acoustic Waves
Simulating sympathetic cooling of atomic mixtures in nonlinear traps
Role of anisotropy in determining stability of electrodeposition at  solid-solid interfaces
Intrinsic translational symmetry breaking in a doped Mott insulator
Reply to "Comment on `Discovery of slow magnetic fluctuations and  critical slowing down in the pseudogap phase of YBa$_2$Cu$_3$O$_y$' "
Majorana Zero-Energy Mode and Fractal Structure in Fibonacci-Kitaev  Chain
Phonon transport of three-fold degeneracy topological semimetal MoP
Cluster sizes in a classical Lennard-Jones chain
Dynamics of Topological Excitations in a Model Quantum Spin Ice
One-dimensional model of chiral fermions with Feshbach resonant  interactions
Energy surface and lifetime of magnetic skyrmions
Hydration Peculiarities of Graphene Oxides with Multiple Oxidation  Degrees
Strong electron-phonon and band structure effects in the optical  properties of high pressure metallic hydrogen
Absence of the $T^{2/3}$ specific heat anomaly in a $U(1)$ spin liquid  with a large spinon Fermi surface: confinement of slave particles and  non-locality of spinons
Thermal conductance of suspended nanoribbons: interplay between strain  and interatomic potential nonlinearity
Slow Dynamics of the Electron-Glasses; the Role of Disorder
Memory vs. irreversibility in thermal densification of amorphous glasses
Emergence of Frohlich polaron from interlayer electron-phonon coupling  in van der Waals heterostructure
Strong second harmonic generation in two-dimensional ferroelectric  IV-monochalcogenides
Enhanced electron correlations in the new binary stannide PdSn4: a  homologue of the Dirac nodal arc semimetal PtSn4
Magnetism in Mn Nanowires and Clusters as δ-doped Layers in Group  IV Semiconductors (Si, Ge)
Modeling Biological Membrane and Red Blood Cells by Coarse- Grained  Particle Method
Bending and Breaking of Stripes in a Charge-Ordered Manganite
Semitransparent anisotropic and spin Hall magnetoresistance sensor  enabled by spin-orbit toque biasing
Singularity in the matrix of the coupled Gross-Pitaevskii equations and  the related state-transitions in three-species condensates
Effect of magnetic field on the lasing threshold of a semimagnetic  polariton condensate
Is the largest aqueous gold cluster a superatom complex? Electronic  structure & optical response of the structurally determined Au146(pMBA)57
Fermi Arcs in Tilted Weyl Semimetals: Classification, Evolution and  Transport Properties
Conformal Nanocarbon Coating of Alumina Nanocrystals for Biosensing and  Bioimaging
Ramp Reversal Memory and Phase-Boundary Scarring in Transition Metal  Oxides
Dynamics of one-dimensional electrons with broken spin-charge separation
Collective effects enhancing power and efficiency
Dense superconducting phases of copper-bismuth at high pressure
Singlet exciton condensation and bond-order-wave phase in the extended  Hubbard model
