Transport through an AC driven impurity: Fano interference and bound  states in the continuum
Comment on "Spin-Orbit Coupling Induced Gap in Graphene on Pt(111) with  Intercalated Pb Monolayer"
Thermo-mechanical finite element analysis of the AA5086 alloy under warm  forming conditions
Elemental chalcogens as a minimal model for chiral charge and orbital  order
Discovering Phases, Phase Transitions and Crossovers through  Unsupervised Machine Learning: A critical examination
Anomalous Hall Effect and Spontaneous Orbital Magnetization in  Antiferromagnetic Weyl Metal
Asymmetric isolated skyrmions in polar magnets with easy-plane  anisotropy
Thermally nucleated magnetic reversal in CoFeB/MgO nanodots
Ubiquity of Unconventional Phenomena Associated with Critical Valence  Fluctuations in Heavy Fermion Metals
The Anderson impurity model out of equilibrium: Assessing the accuracy  of simulation techniques with an exact current-occupation relation
Composite Weyl nodes stabilized by screw symmetry with and without time  reversal
The ALF (Algorithms for Lattice Fermions) project release 1.0.  Documentation for the auxiliary field quantum Monte Carlo code
Observation of Floquet band topology change in driven ultracold Fermi  gases
Tuning the Polar States of Ferroelectric Films via Surface Charges and  Flexoelectricity
Native defects in the Co$_2$Ti$Z$ ($Z=$ Si, Ge, Sn) full Heusler alloys:  formation and influence on the thermoelectric properties
Band filling control of the Dzyaloshinskii-Moriya interaction in weakly  ferromagnetic insulators
Fundamental characteristic length scale for the field dependence of  hopping charge transport in disordered organic semiconductors
Electronic bandstructure and van der Waals coupling of ReSe2 revealed by  high-resolution angle-resolved photoemission spectroscopy
Anomalous Anisotropic Exciton Temperature Dependence in Rutile TiO2
Small-signal model for 2D-material based field-effect transistors  targeting radio-frequency applications: the importance of considering  non-reciprocal capacitances
Raman spectroscopy of graphene under ultrafast laser excitation
Effect of piezoelectric substrate on phonon-drag thermopower in  monolayer graphene
Doublon life times in dissipative environments
Pattern formation in vortex matter with pinning and frustrated  inter-vortex interactions
A density functional approach to ferrogels
Doping Mn into (Li1-xFex)OHFe1-ySe superconducting crystals via  ion-exchange and ion-release/introduction syntheses
Z2 topological order and Majorana doubling in Kitaev Chain Model
Density wave like transport anomalies in surface doped Na$_{2}$IrO$_3$
Semi-inverse method in nonlinear mechanics: application to couple shell-  and beam-type oscillations of single-walled carbon nanotubes
The road map toward room temperature superconductivity: manipulating  different pairing channels in systems composed of multiple electronic  components
T-duality and the bulk-boundary correspondence
Tunneling measurements of the electron-phonon interaction in $\rm  Ba_{1-x}K_xBiO_3$
Superconducting energy gap in $\rm Ba_{1-x}K_xBiO_3$: Temperature  dependence
Driving protocol for a Floquet topological phase without static  counterpart
Jamming in hard sphere suspensions under shear
First-principles prediction of the stacking fault energy of gold at  finite temperature
Multiple Dirac Cones and Topological Magnetism in Honeycomb-Monolayer  Transition Metal Trichalcogenides
Spectroscopic signatures of different symmetries of the superconducting  order parameter in metal-decorated graphene
Identifying the dominant pairing interaction in high-$T_c$ FeSe  superconductors through Leggett modes
Extremely large non-saturating magnetoresistance and ultrahigh mobility  due to topological surface states in metallic Bi2Te3 topological insulator
Guyer-Krumhansl-type heat conduction at room temperature
Self-organization of charged particles in circular geometry
Estimation of π-π Electronic Couplings from Current Measurements
Graphene-based Antennas for Terahertz Systems: A Review
Epigraphene : epitaxial graphene on silicon carbide
Dynamical Mass Generation in Pseudo Quantum Electrodynamics with  Four-Fermion Interactions
Spin dynamics and spin-dependent recombination of a polaron pair under a  strong ac drive
Growing length scale accompanying the vitrification: A perspective based  on non-singular density fluctuations
Fulde-Ferrell-Larkin-Ovchinnikov state in spin-orbit-coupled  superconductors
Asymmetric Random Walk in a One-Dimensional Multi-Zone Environment
Thickness-dependent Kapitza resistance in multilayered graphene and  other two-dimensional crystals
Sensing Coherent Phonons with Two-photon Interference
On the Lorenz number of multi-band materials
Floquet engineering of long-range p-wave superconductivity: Beyond the  high-frequency limit
Emission Noise and High Frequency Cut-Off of the Kondo Effect in a  Quantum Dot
Itinerant ferromagnetism of two-dimensional repulsive fermions with Rabi  coupling
Superconducting Two-Dimensional Metal-Organic Framework
Photodoping-driven crossover in low-frequency noise in MoS2 transistors
Theoretical models of Rashba spin splitting in asymmetric SrTiO3-based  heterostructures
Fluctuation-induced forces in confined ideal and imperfect Bose gases
Criticality and Phase Diagram of Quantum Long-Range $\text{O(N)}$ models
Inverse spin galvanic effect in the presence of impurity spin-orbit  scattering: a diagrammatic approach
The even exciton series in Cu$_2$O
Strain effects on phonon transport in antimonene from a first-principles  study
Signatures of lattice geometry in quantum and topological Hall effect
Mapping of Deformation to Apparent Young's Modulus in Real-Time  Deformability Cytometry
Tuning Pairing Amplitude and Spin-Triplet Texture by Curving  Superconducting Nanostructures
Thermal conductance and thermoelectric figure of merit of C$_{60}$-based  single-molecule junctions: electrons, phonons, and photons
Overlaps after quantum quenches in the sine-Gordon model
On Mechanical Response of Macro- and Microfiller-Reinforced Polymer:  Young Modulus and Shear Wave Velocity
A viscous froth model adapted to wet foams
Interacting lattice systems with quantum dissipation: a quantum Monte  Carlo study
Anisotropic Elastic Modulus, High Poisson's ratio and Negative Thermal  Expansion of Graphynes and Graphdiynes
Analytical approach to the Bose polaron problem in one dimension
Metrologically useful states of spin-1 Bose condensates with macroscopic  magnetization
Super Rogers-Szegö polynomials associated with $BC_N$ type of  Polychronakos spin chains
Symmetric motifs in random geometric graphs
Nodal-link semimetals
Magnetoelectric Phase Diagrams of Multiferroic GdMn2O5
Raman scattering study of tetragonal magnetic phase in  Sr$_{1-x}$Na$_x$Fe$_2$As$_2$: structural symmetry and electronic gap
Spin-orbit-coupling induced localization in the expansion of an  interacting Bose-Einstein condensate
Half-Heusler alloy LiBaBi: A new topological semimetal with five-fold  band degeneracy
Canonical quantization of nonlinear sigma models with theta term, with  applications to symmetry-protected topological phases
Many-body Localization Transition: Schmidt Gap, Entanglement Length &  Scaling
Friction law and hysteresis in granular materials
Parametrization of the Tkatchenko-Scheffler dispersion correction scheme  for popular exchange-correlation density functionals: effect on the  description of liquid water
Effects of spatially engineered Dzyaloshinskii-Moriya interaction in  ferromagnetic films
Plasmonic heating in Au nanowires at low Temperatures: The role of  thermal boundary resistance
Robustness of symmetry-protected topological states against  time-periodic perturbations
Anisotropic magnetoresistance and piezoelectric effect in GaAs Hall  samples
Static Charge Density Wave Order in the Superconducting State of  La2-xBaxCuO4
Local optical control of ferromagnetism and chemical potential in a  topological insulator
Van der Waals Engineering of Ferromagnetic Semiconductor  Heterostructures for Spin and Valleytronics
Nematic ordering dynamics of an anti-ferromagnetic spin-1 condensate
Nanoscale Voltage Enhancement at Cathode Interfaces in Li-ion Batteries
Analysis and validation of low-frequency noise reduction in MOSFET  circuits using variable duty cycle switched biasing
Reweighting from the mixture distribution as a better way to describe  the Multistate Bennett Acceptance Ratio
Heat engines at optimal power: Low-dissipation versus endoreversible  model
Instabilities of jammed packings of frictionless spheres under  compression
Electrodeposition of Ni from Various Non-Aqueous Media: The Case of  Alcoholic Solutions
Hydrogenation Facilitates Proton Transfer Through Two-Dimensional  Honeycomb Crystals
Magnetic and dielectric order in the kagome-like francisite  Cu$_3$Bi(SeO$_3$)$_2$O$_2$Cl
Phonon-derived ultrafast relaxation of spin-valley polarized states in  MoS_{2}
Mechanics of disordered auxetic metamaterials
Multi-mode Bose-Hubbard model for quantum dipolar gases in confined  geometries
Ordering effect on the electrical properties of stoichiometric  Ba$_{3}$CaNb$_{2}$O$_{9}$-based perovskite ceramics
Temperature- and doping-dependent roles of valleys in thermoelectric  performance of SnSe: a first-principles study
Scaling laws of Rydberg excitons
Excitonic effects in the optical properties of 2D materials: An equation  of motion approach
Review on Titania Nanopowder- Processing and Applications
An ab initio based approach to optical properties of semiconductor  heterostructures
Discovery of Log-Periodic Oscillations in Ultra-Quantum Topological  Materials
Spatio-temporal coherent control of thermal excitations in solids
Spin Fluctuation Induced Linear Magnetoresistance in Ultrathin  Superconducting FeSe Films
Decomposition Process of Carboxylate MOF HKUST-1 Unveiled at the Atomic  Scale Level
Symmetry and Piezoelectricity: Evaluation of $α$-Quartz  coefficients
How roughness affects the depletion mechanism
Nonvolatile Solid-State Charged-Polymer Gating of Topological Insulators  into the Topological Insulating Regime
Strong-coupling corrections to ground-state properties of a superfluid  Fermi gas
Deterministic entanglement between a propagating photon and a  singlet--triplet qubit in an optically active quantum dot molecule
Strongly angle-dependent magnetoresistance in Weyl semimetals with  long-range disorder
Excess of topological defects induced by confinement in vortex  nanocrystals
Crystal Structure and Superconductivity at about 30 K in  $A$Ca$_2$Fe$_4$As$_4$F$_2$ ($A$ = Rb, Cs)
Synthesis, crystal structure and superconductivity in  Rb$Ln_2$Fe$_4$As$_4$O$_2$ ($Ln$ = Sm, Tb, Dy and Ho)
Phonon-limited carrier mobility in monolayer Black Phosphorous
Two- and three-body problem with Floquet-driven zero-range interactions
Probing the Hydrogen Enhanced Near-Field Emission of ITO without a  Vacuum-Gap
Competing spin density wave, collinear, and helical magnetism in Fe1+xTe
Emergent eigenstate solution and emergent Gibbs ensemble for expansion  dynamics in optical lattices
Model Hamiltonian and Time Reversal Breaking Topological Phases of  Anti-ferromagnetic Half-Heusler Materials
Iron Partitioning between Ferropericlase and Bridgmanite in the Earth's  Lower Mantle
Resolving Local Electrochemistry at the Nanoscale via Electrochemical  Strain Microscopy: Modeling and Experiments
Entanglement entropy and computational complexity of the Anderson  impurity model out of equilibrium I: quench dynamics
Boundary conformal field theory and symmetry protected topological  phases in $2+1$ dimensions
Continuum model for hydrogen pickup in Zirconium alloys of LWR fuel  cladding
Superconductivity and Frozen Electronic States at the (111)  LaAlO$_3$/SrTiO$_3$ Interface
Observation of Efimov molecules created from a resonantly interacting  Bose gas
Disorder-free spin glass transitions and jamming in exactly solvable  mean-field models
Modeling granular material blending in a rotating drum using a finite  element method and advection-diffusion equation multi-scale model
Robust odd-parity superconductivity in the doped topological insulator  Nb$_x$Bi$_2$Se$_3$
Qubit dynamics at tunneling Fermi-edge singularity in $\it{a.c.}$  response
Universal behaviour of the glass and the jamming transitions in finite  dimensions
Collective excitation of a trapped Bose-Einstein condensate with  spin-orbit coupling
Spectroscopy and spin dynamics for strongly interacting few spinor  bosons in one-dimensional traps
High-Frequency Analysis of Effective Interactions and Bandwidth for  Transient States after Monocycle Pulse Excitation of Extended Hubbard Model
Cubic lead perovskite PbMoO3 with anomalous metallic behavior
Superfluidity in density imbalanced bilayers of dipolar fermions
Using torsion to manipulate spin currents
High operating temperature in V-based superconducting quantum  interference proximity transistors
Symmetric Operation of the Resonant Exchange Qubit
Stacking-enriched magneto-transport properties of few-layer graphenes
Observation of forbidden phonons and dark excitons by resonance Raman  scattering in few-layer WS$_2$
Spin-Frustrated Pyrochlore Chains in the Volcanic Mineral Kamchatkite  (KCu3OCl(SO4)2)
Structure, site-specific magnetism and magneto-transport properties of  epitaxial D0$_{22}$ Mn$_2$Fe$_x$Ga thin films
Bias induced up to 100% spin-injection and detection polarizations in  ferromagnet/bilayer-hBN/graphene/hBN heterostructures
Lifshitz interaction can promote ice growth at water-silica interfaces
The interfacial nature of proximity induced magnetism and the  Dzyaloshinskii-Moriya interaction at the Pt/Co interface
Structural short - range order and electronic properties of graphene at  low temperatures
The Spectral Density of a Spin System Calculated for Solvable Models
Ballistic Aggregation in Systems of Inelastic Particles: Cluster growth,  structure and aging
Tuning the effective spin-orbit coupling in molecular semiconductors
Unifying first principle theoretical predictions and experimental  measurements of size effects on thermal transport in SiGe alloys
Numerical construction of the Aizenman-Wehr metastate
Discrete-time construction of nonequilibrium path integrals on the  Kostantinov-Perel' time contour
An open-source platform to study uniaxial stress effects on nanoscale  devices
Bias voltage effects on tunneling magnetoresistance in  Fe/MgAl${}_2$O${}_4$/Fe(001) junctions: Comparative study with Fe/MgO/Fe(001)  junctions
The magnetic and electronic properties of Oxyselenides - influence of  transition metal ions and lanthanides
Thermodynamics of interface in the freezing of colloidal suspensions:  from macroscale to the microscale
Influence of the nuclear Zeeman effect on mode locking in pulsed  semiconductor quantum dots
Stateful characterization of resistive switching TiO2 with electron beam  induced currents
Molecular detection by liquid gated Hall effect measurement of graphene
Superconductivity at 33 - 37 K in $ALn_2$Fe$_4$As$_4$O$_2$ ($A$ = K and  Cs; $Ln$ = Lanthanides)
Creep and thermal rounding close to the elastic depinning threshold
Coexistence of magnetism and superconductivity in separate layers of the  iron-based superconductor Li_{1-x}Fe_{x}(OH)Fe_{1-y}Se
Electric field control of terahertz polarization in a multiferroic  manganite with electromagnons
LDA+DMFT approach to core-level spectroscopy: application to 3d  transition metal compounds
Perfectly Conducting Graphene Electronic Waveguide with Curved Channels
Spin polarization and exchange-correlation effects in transport  properties of two-dimensional electron systems in silicon
Graphene Phase Modulator
Filtering Signal Processes in Molecular Multimedia Memristors
Entanglement Hamiltonians and entropy in 1+1D chiral fermion systems
On 1/f-noise of electron in phonon field
Thermal Conductivity and Mechanical Properties of Nitrogenated Holey  Graphene
Optical emission of graphene and electron-hole pair production induced  by a strong THz field
Asymmetry in crystal facet dynamics of homoepitaxy by a continuum model
Spin Based Biosensor with Hard Axis Assist for Enhanced Sensitivity
Multiscale permutation entropy analysis of laser beam wandering in  isotropic turbulence
Collective two-boson decay of excitons in Bose-Einstein condensate and  generation of coherent photon-phonon radiation
Relativistic theory of magnetic inertia in ultrafast spin dynamics
Surface and bulk effects of K in highly efficient  Cu$_{1-x}$K$_x$InSe$_2$ solar cells
Modeling photoconversion efficiency of perovskite solar cells
Charging changes contact composition in binary sphere packings
Entropy production for complex Langevin equations
Tuning of Interlayer Coupling in Large-Area Graphene/WSe2 van der Waals  Heterostructure via Ion Irradiation: Optical Evidences and Photonic  Applications
The effect of the three-dimensional strain variation on the emission  properties of light-emitting diodes based on (In,Ga)N/GaN nanowires
Probing many-body localization with neural networks
Magnetization process in a frustrated plaquette dimerized ladder
Combining Topological Hardware and Topological Software: Color Code  Quantum Computing with Topological Superconductor Networks
Floquet time crystal in the Lipkin-Meshkov-Glick model
Surface and Bulk Effects of K in Cu$_{1-x}$K$_x$In$_{1-y}$Ga$_y$Se$_2$  Solar Cells
Emergent particle-hole symmetry in spinful bosonic quantum Hall systems
Superfluid Field response to Edge dislocation motion
Anisotropic thermal conductivity and mechanical properties of  phagraphene: A molecular dynamics study
Extinction phase transitions in a model of ecological and evolutionary  dynamics
Phase transition of ultracold atoms immersed in a BEC vortex lattice
Kinetic energy of a trapped Fermi gas at finite temperature
Optical properties of Xe color centers in diamond
Transition of the uniform statistical field anyon state to the  nonuniform one ar low particle densities
Signature of topological phase transition in the RKKY interaction of  silicene
Trapping Probability and Superdiffusive Motion on a Disordered Ratchet  Potential
Double helix nodal line superconductor
The origin of the Debye relaxation in liquid water and fitting the high  frequency excess response
Evolution of shot noise in suspended lithographic gold break junctions  with bias and temperature
Monte Carlo study of magnetoresistance in a chiral soliton lattice
The one step fermionic ladder
Electronic structure and magnetic properties of magnetically dead layers  in epitaxial CoFe2O4/Al2O3/Si(111) films studied by X-ray magnetic circular  dichroism
Topological phase transitions in an inverted InAs/GaSb quantum well  driven by tilted magnetic fields
Thermoelectric power factor of Bi-Sb-Te and Bi-Te-Se alloys and doping  strategy: First-principles study
Spin-valley half-metal as a prospective material for spin-valley-tronics
Global Phase Diagram of Disordered Type-II Weyl Semimetals
Origin of Temperature Gradient in Nonequilibrium Steady States in Weakly  Coupled Quantum Spin Systems
Phase Behavior of Aqueous Suspension of Laponite: New Insights with  Microscopic Evidence
Heat fluctuations of Brownian oscillators in nonstationary processes:  fluctuation theorem and condensation transition
A critical study of the elastic properties and stability of Heusler  compounds: Phase change and tetragonal $X_{2}YZ$ compounds
Efficient sampling of knotting-unknotting pathways for semiflexible  Gaussian chains
A critical study of the elastic properties and stability of Heusler  compounds: Cubic Co$_{2}YZ$ compounds with $L2_{1}$ structure
Tuning the Electronic Properties of LAO/STO Interfaces by Irradiating  LAO Surface with Low-Energy Cluster Ion Beams
Static spin susceptibility in magnetically ordered states
Composite fermion basis for M-component Bose gases
Influence of anisotropic surface roughness on lubricated rubber friction  with application to hydraulic seals
Minimal excitation states for heat transport in driven quantum Hall  systems
Dynamical Theory of the Inverted Cheerios Effect
Universal first-passage statistics of aging processes
Fast magnetic field manipulations and nonadiabatic geometric phases of  nitrogen-vacancy center spin in diamond
Magneto-elastic coupling model of deformable anisotropic superconductors
Mechanical detection and imaging of hyperbolic phonon polaritons in  hexagonal Boron Nitride
Density inhomogeneities and Rashba spin-orbit coupling interplay in  oxide interfaces
Ehrlich-Schwoebel Effect on the Growth Dynamics of GaAs(111)A surfaces
High Throughput Characterization of Epitaxially Grown Single-Layer MoS2
Vacancy in graphene: insight on magnetic properties from theoretical  modeling
Weyl-link semimetals
Spin-coating of moderately concentrated superparamagnetic colloids in  different magnetic field configurations
Threshold Dynamics of a Semiconductor Single Atom Maser
In-situ observation of temperature-dependent segregation of Ni adatoms  on oriented Pd surfaces
Dissipation in mesoscale superfluids
Efficient Quantum Monte Carlo simulations of highly frustrated magnets:  the frustrated spin-1/2 ladder
Extracting entanglement geometry from quantum states
Marrying excitons and plasmons in monolayer transition-metal  dichalcogenides
Probing topology by "heating": Quantized circular dichroism in ultracold  atoms
Pinned Brownian Bridges in the Continuous-Time Limit
Defect processes in Be$_{12}$X Beryllides
Negative longitudinal magnetoresistance from anomalous N=0 Landau level  in topological materials
Electronic and Optical Properties of Vacancy Defects in Transition Metal  Dichalcogenides
Geometrical optics limit of phonon transport in a channel of  disclinations
Universality of Electron Mobility in LaAlO$_3$/SrTiO$_3$ and bulk  SrTiO$_3$
Universal few-body physics and cluster formation
Detection of current induced spin polarization in epitaxial Bi$_2$Te$_3$  thin film
J-shaped stress-strain diagram of collagen fibers: Frame tension of  triangulated surfaces with fixed boundaries
Influence of image forces on the electron transport in ferroelectric  tunnel junctions
Maximizing Tc by tuning nematicity and magnetism in FeSe1-xSx  superconductors
$Z_3$ topological order in the quantum dimer-pentamer model
Realization of Quantum Anomalous Hall Effect in Graphene from  \textit{n}-\textit{p} Codoping Induced Stable Atomic-Adsorption
Site occupancies and their effects on the physical properties of spinel  $Co\left(Cr_{1-x}Fe_{x} \right)_{2}O_{4}$: an {\it ab initio} study
Multiscale fabrication of scalable biomimetic 3-D, integrated  micro-nanochannels network in PDMS for solute exchange
Underdamped stochastic harmonic oscillator
In-gap features in superconducting LaAlO$_3$-SrTiO$_3$ interfaces  observed by tunneling spectroscopy
Drastic change of the Fermi surface across the metamagnetic transition  in CeRh$_2$Si$_2$
Hysteresis Behaviors of the Binary Ising Model
Effect of picosecond magnetic pulse on dynamics of electron's subbands  in semiconductor bilayer nanowire
Spinless hourglass nodal-line semimetals
The influence of localization transition on dynamical properties for an  extended Aubry-André-Harper model
Flipping growth orientation of nanographitic structures by plasma  enhanced chemical vapor deposition
Non-scalar operators for the Potts model in arbitrary dimension
Langevin dynamics for ramified structures
Giant gigahertz optical activity in multiferroic ferroborate
Terahertz spectroscopy of crystal-field transitions in magnetoelectric  TmAl3(BO3)4
On the impact ionization rate in direct gap semiconductors
Giant Zeeman splitting inducing near-unity valley polarization in van  der Waals heterostructures
Spin wave propagation and spin polarized electron transport in single  crystal iron films
The feasibility of correlation between superconductivity and magnetic  monopole: Establishment of semi-classical electrodynamics projection, TKH  topological theory and dynamic vortex models
Spin current and second harmonic generation in non-collinear magnetic  systems: the hydrodynamic model
Thermopower and thermal conductivity in the Weyl semimetal NbP
Importance of phonon contribution to the free migration energy of the O  vacancy in BaZrO3
A generalised Davydov-Scott model for polarons in linear peptide chains
Surfactant-Free Polar-to-Non-Polar-Phase Transfer of Exfoliated MoS2  Two-Dimensional Colloids
Reconfigurable nano-scale spin-wave directional coupler
Weak Versus Strong Disorder Superfluid-Bose Glass Transition in One  Dimension
The underdamped Brownian duet and stochastic linear irreversible  thermodynamics
Inflationary preheating dynamics with ultracold atoms
Apparent Reversal of Molecular Orbitals Reveals Entanglement
Two-channel Kondo physics in a periodically driven single-impurity  Anderson model
Entropy production and fluctuation theorems for active matter
Universality class change due to angle of deposition of thin-film growth  by random particles aggregation
Thermal and electrical transport in metals and superconductors across  antiferromagnetic and topological quantum transitions
The manifestation of the band structure in the photon emission spectrum  of the fast above-barrier oriented particle
Ultralow Energy Analog Straintronics Using Multiferroic Composites
Spin circuit representation of spin pumping
Estimating spin diffusion length and spin Hall angle from spin  pumping-induced inverse spin Hall voltages
Topological Kondo insulators in one dimension: Continuous Haldane-type  ground-state evolution from the strongly-interacting to the non-interacting  limit
Time-domain thermoreflectance (TDTR) measurements of anisotropic thermal  conductivity using a variable spot size approach
Evolution of force networks in dense granular matter close to jamming
On absence of steady state in the Bouchaud-Mézard network model
Nambu identity and collective modes in superconductors and superfluid  $^3$He
Thermal memory fading by heating to a lower temperature: experimental  data on polycrystalline NiFeGa ribbons and 2D statistical model predictions
Unravelling local spin polarization of Zhang-Rice singlet in lightly  hole-doped cuprates using high-energy optical conductivity
Effect of Frustrated Exchange Interactions and Spin-half Impurity on the  Electronic Structure of Strongly Correlated NiFe$_{2}$O$_{4}$
Influence of magnetic field on evaporation of a ferrofluid droplet
Evaporation-driven convective flows in suspensions of non-motile  bacteria
Heavy fermion quantum criticality at dilute carrier limit in  CeNi$_{2-δ}$(As$_{1-x}$P$_{x}$)$_{2}$
Effect of annealing temperatures on the electrical conductivity and  dielectric properties of Ni1.5Fe1.5O4 spinel ferrite prepared by chemical  reaction at different pH values
On the stochastic phase stability of Ti2AlC-Cr2AlC
Thermoelectric bolometers based on ultra-thin heavily doped  single-crystal silicon membranes
Effect of long-range structural corrugations on magnetotransport  properties of phosphorene in tilted magnetic field
Self-assembled Nanocapsules in Water: A Molecular Mechanism Study
Numerical Studies of Quantum Turbulence
Hot Electrons Regain Coherence in Semiconducting Nanowires
Strong coupling Bose polarons in a BEC
Bose polarons in ultracold atoms in one dimension: beyond the Fröhlich  paradigm
Spin-based single-photon transistor, dynamic random access memory,  diodes and routers in semiconductors
Diagrammatic approach to orbital quantum impurities interacting with a  many-particle environment
Thermal Conductance of a Single-Electron Transistor
