Spin ice thin films: Large-N theory and Monte Carlo simulations
Nonmonotonic dependence of polymer glass mechanical response on chain  bending stiffness
Magnetic vortices as efficient nano heaters in magnetic nanoparticle  hyperthermia
Heat diffusion in magnetic superlattices on glass substrates
Temperature dependence of interlayer coupling in perpendicular magnetic  tunnel junctions with GdOx barriers
Highly efficient optical pumping of spin defects in silicon carbide for  stimulated microwave emission
Antiferromagnetic magnons from fractionalized excitations
Antiferromagnetism weakening with Y-substitution in the TbRhIn$_5$  intermetallic system
Several Localized Waves Induced by Linear Interference between a  Nonlinear Plane Wave and Bright Solitons
Overcoming the time limitation in Molecular Dynamics simulation of  crystal nucleation: a persistent-embryo approach
Ballistic transport through irradiated graphene
Anomalous Thermoelectric Response in an Orbital-Ordered Oxide Near and  Far from Equilibrium
Magneto-Optics of Exciton Rydberg States in a Monolayer Semiconductor
Quasiparticle Excitations and Evidence for Superconducting Double  Transitions in Monocrystalline U0.97Th0.03Be13
Antiresonance induced by symmetry-broken contacts in  quasi-one-dimensional lattices
Wing structure in the phase diagram of the Ising Ferromagnet URhGe close  to its tricritical point investigated by angle-resolved magnetization  measurements
The tunnelling spectra of quasi-free-standing graphene monolayer
X-ray absorption of liquid water by advanced ab initio methods
Closed-channel contribution in the BCS-BEC crossover regime of an  ultracold Fermi gas with an orbital Feshbach resonance
Algebraic Charge Dynamics of Quantum Spin Liquid b'-EtMe3Sb[Pd(dmit)2]2
Water-based peeling of thin hydrophobic films
Rashba spin-orbit torque in magnetic domain walls
Distinct domain switching in Nd0.05Ce0.95CoIn5 at low and high fields
Two-dimensional Massless Dirac Fermions in Antiferromagnetic AFe2As2 (A  = Ba, Sr)
Tensile Stress Relaxation in Unsaturated Granular Materials
Temperature dependence of universal conductance fluctuation due to  development of weak localization in graphene
Time propagation and spectroscopy of Fermionic systems using a  stochastic technique
Thermal conductance of metallic atomic-size contacts: Phonon transport  and Wiedemann-Franz law
Reproducibility and off-stoichiometry issues in nickelate thin films  grown by pulsed laser deposition
Energy nonequipartition in gas mixtures of inelastic rough hard spheres:  The tracer limit
Doping dependence of ordered phases and emergent quasiparticles in the  doped Hubbard-Holstein model
Interplay between topology and disorder in a two-dimensional semi-Dirac  material
Spin-glass ground state in a triangular-lattice compound YbZnGaO$_4$
Evidence for room temperature superconductivity at graphite interfaces
Dissipation in a superconducting artificial atom due to a single  non-equilibrium quasiparticle
Length and sequence relaxation of copolymers under recombination  reactions
Si(111) strained layers on Ge(111): evidence for c(2x4) domains
Quantum criticality in the spin-${1}/{2}$ Heisenberg chain system copper  pyrazine dinitrate
Charge Transport and Conductance Switching of Redox-active Azulene  Derivatives
Superconductivity, charge-density waves, antiferromagnetism, and phase  separation in the Hubbard-Holstein model
Quantitative measurements of size-dependent magnetoelectric coupling in  Fe3O4 nanoparticles
Anisotropic Pseudopotential Characterization of Quantum Hall Systems  under Tilted Magnetic Field
Suppression of scattering in quantum confined 2D-helical Dirac systems
First-principles Study of the Luminescence of Eu2+-doped Phosphors
Surface floating 2D bands in layered nonsymmorphic semimetals: ZrSiS and  related compounds
Combined Notch and Size Effect Modeling in a Local Probabilistic  Approach for LCF
Robust nonequilibrium pathways to microcompartment assembly
Calculation of the magnetotransport for a spin-density-wave quantum  critical theory in the presence of weak disorder
Kondo Impurities Coupled to Helical Luttinger Liquid: RKKY-Kondo Physics  Revisited
Porous mechanical metamaterials as interacting elastic charges
Time resolved photoemission spectroscopy of electronic cooling and  localization in CH$_3$NH$_3$PbI$_3$ crystals
On superuniversality in the $q$-state Potts model with quenched disorder
Transmission-line resonators for the study of individual two-level  tunneling systems
Quasiparticles of widely tuneable inertial mass: The dispersion relation  of atomic Josephson vortices and related solitary waves
Dynamical Quantum Phase Transitions in Systems with Continuous Symmetry  Breaking
Spin Hall mode in a trapped thermal Rashba gas
Possible Structural Transformation and Enhanced Magnetic Fluctuations in  Exfoliated $α$-RuCl$_3$
Generalized dispersion of the edge plasmon modes of two-dimensional  Dirac materials
Many-particle effects in the cyclotron resonance of encapsulated  monolayer graphene
Possible phases of the spin-$1/2$ $XXZ$ model on a honeycomb lattice by  boson-vortex duality
Microphase separation in oil-water mixtures containing hydrophilic and  hydrophobic ions
Theory of Thermal Relaxation of Electrons in Semiconductors
Germanium-Vacancy Color Center in Diamond as a Non-invasive Temperature  Sensor
Performance of Range Separated Hybrids: Study within BECKE88 family and  Semilocal Exchange Hole based Range Separated Hybrid
Quantum Monte Carlo study of the metal to insulator transition on a  honeycomb lattice with 1/r interactions
Cavity QED with hybrid nanocircuits: from atomic-like physics to  condensed matter phenomena
Mitigating E-beam-induced Hydrocarbon Deposition on Graphene for  Atomic-Scale Scanning Transmission Electron Microscopy Studies
Indentation of a floating elastic sheet: Geometry versus applied tension
Finite-size nanowire at a surface: unconventional power laws of the van  der Waals interaction
Proposed Spontaneous Generation of Magnetic Fields by Curved Layers of a  Chiral Superconductor
In-situ magnetometry for experiments with atomic quantum gases
Laser-Induced Skyrmion Writing and Erasing in an Ultrafast Cryo-Lorentz  Transmission Electron Microscopy
Influence of the Terbium film size for the magnetocaloric effect at low  temperatures
Liquid-Liquid Phase Separation in an Elastic Network
Pancharatnam-Berry phase in condensate of indirect excitons
Scanning Tunneling Spectroscopy of MoS2 monolayer in presence of ethanol  gas
First principles study of electronic and structural properties of single  walled zigzag boron nitride nanotubes doped with the elements of group IV
Glassy states: the free Ising model on a tree
C$_4$N$_3$H monolayer: A novel two-dimensional organic Dirac material  with high Fermi velocity
Inversion Domain Boundary Induced Stacking and Bandstructure Diversity  in Bilayer MoSe2
Hole doping, hybridization gap, and electronic correlation in graphene  on a platinum substrate
The Effects of Exfoliation, Organic Solvents and Anodic Activation on  Catalytic Hydrogen Evolution Reaction of Tungsten Disulfide
Aharonov-Bohm oscillations and magnetic focusing in ballistic graphene  rings
Signatures of the Kondo effect in VSe2
A simulation study of homogeneous ice nucleation in supercooled salty  water
Spontaneous emission enhancement in strain-induced WSe2 monolayer based  quantum light sources on metallic surfaces
Ferromagnetic Phase in Nonequilibrium Quantum Dots
How the electron-phonon coupling mechanism work in metal superconductor
Optical properties of van der Waals heterostructure of uniaxially  strained graphene on TMD
Dynamics of the vortex line density in superfluid counterflow turbulence
Determinant representations of spin-operator matrix elements in the XX  spin chain and their applications
Giant tunnel magnetoresistance with a single magnetic phase-transition  electrode
Orientational Order in Disordered Colloidal Suspensions
Diffusiophoresis in non-adsorbing polymer solutions: the Asakura-Oosawa  model and stratification in drying films
Stabilities and novel electronic structures of three carbon nitride  bilayers
Efimov states near a Feshbach resonance and the limits of van der Waals  universality at finite background scattering length
Number of hidden states needed to physically implement a given  conditional distribution
Hofstadter-Hubbard model with opposite magnetic fields:  Bardeen-Cooper-Schrieffer pairing and superfluidity in the nearly flat  butterfly bands
Femtosecond formation dynamics of the spin Seebeck effect revealed by  terahertz spectroscopy
Modulated magnetic structure of Fe3PO7 as seen by 57Fe Mössbauer  spectroscopy
Critical Pólya urn
Phase Diagrams of Three-Dimensional Anderson and Quantum Percolation  Models using Deep Three-Dimensional Convolutional Neural Network
Switching of the topologically trivial and non-trivial quantum phase  transitions in compressed 1T-TiTe2: Experiments and Theory
Revealing correlation effect of Co 3d electrons in La$_3$Co$_4$Sn$_{13}$  and Ce$_3$Co$_4$Sn$_{13}$ by infrared spectroscopy study
Microstructures and Dynamics of Tetraalkylphosphonium Chloride Ionic  Liquids
Macroscale three-dimensional proximity effect in disordered  normal/superconductor nanocomposites
Azbel'-Kaner-Like Cyclotron Resonance in a Two-Dimensional Electron  System
Dark soliton collisions in superfluid Fermi gases
Edge channel confinement in a bilayer graphene $n$-$p$-$n$ quantum dot
Double Transition in a Model of Oscillating Percolation
Colored Percolation
Epitaxially strained SnTiO$_{3}$ at finite temperatures
Rydberg excitons in the presence of an ultralow-density electron-hole  plasma
Superconductivity in La1-xCexOBiSSe: carrier doping by mixed valence of  Ce ions
Interaction of Rydberg Excitons in Cuprous Oxide with Phonons and  Photons: Optical Linewidth and Polariton Effect
A framework for analyzing hyper-viscoelastic polymers
Modeling the adiabatic creation of ultracold, polar  $\mathrm{^{23}Na^{40}K}$ molecules
The superconducting gaps in FeSe studied by soft point-contact Andreev  reflection spectroscopy
Full angular dependence of the spin Hall and ordinary magnetoresistance  in epitaxial antiferromagnetic NiO(001)/Pt thin films
Dark excitons in transition metal dichalcogenides
Effect of the next-nearest-neighbour hopping on the charge collective  modes in the paramagnetic phase of the Hubbard model
Compositional nanodomain formation in hybrid formate perovskites
Zero modes of the Kitaev chain with phase-gradients and longer range  couplings
Spin-polarized ballistic conduction through correlated Au-NiMnSb-Au  heterostructures
A Discrete Packing Model of Granular Material Confined in A Vertical  Column
Local and global avalanches in a 2D sheared granular medium
Magnetic Excitations in the Ground State of $\mathrm{Yb_2Ti_2O_7}$
Antichiral edge states in a modified Haldane nanoribbon
Topological vacancies in spherical crystal clusters
Characterizing topology by dynamics: Chern number from linking number
Environmentally-Sensitive Theory of Electronic and Optical Transitions  in Atomically-Thin Semiconductors
Two-dimensional Holstein-Hubbard model: Critical temperature, Ising  universality, and bipolaron liquid
Generic phase diagram for Weyl superconductivity in mirror-symmetric  superconductors
Structure and equation of state of tetragonal boron subnitride B50N2
System-spanning dynamically jammed region in response to impact of  cornstarch and water suspensions
Landau levels from neutral Bogoliubov particles in two-dimensional nodal  superconductors under strain and doping gradients
Growth of strontium ruthenate films by hybrid molecular beam epitaxy
On the formation of a conducting surface channel by ionic liquid gating  of an insulator
The equilibrium phase in heterogeneous Hertzian chains
Temperature Dependent n-p Transition of 3 Dimensional Dirac Semimetal  Na$_3$Bi Thin Film
Machine Learning Spatial Geometry from Entanglement Features
Perovskite ThTaN3: a Large Thermopower Topological Crystalline Insulator
Nanoscale control of perpendicular magnetic anisotropy, interfacial  Dzyaloshinskii-Moriya interaction and skyrmions in the  inversion-symmetry-broken Ru/Co/W/Ru films
A comparative study of finite frequency scattering rate from Allen,  Mitrović-Fiorucci, Shulga-Dolgov-Maksimov, Sharapov-Carbotte and  Götze-Wölfle Memory Function formalisms
Feshbach Loss Spectroscopy in an Ultracold $^{23}$Na and $^{40}$K  Mixture
Restoring quasi-reversibility with a single topological charge
Voltage control of interface rare-earth magnetic moments
Critical behavior of the two-dimensional icosahedron model
Gate-controlled magnonic-assisted switching of magnetization in  ferroelectric/ferromagnetic junctions
Higher order corrections to the effective potential close to the jamming  transition in the perceptron model
Photoinduced absorptions inside the Mott gap in the two-dimensional  extended Hubbard model
On self similarity and coarsening rate of a convecting bicontinuous  phase separating mixture~: effect of the viscosity contrast
Newton's second law in spin-orbit torque
Strong mechanically-induced effects in DC current-biased suspended  Josephson junctions
Modelling of field-effect transistors based on 2D materials targeting  high-frequency applications
Superconducting and normal-state properties of the noncentrosymmetric  superconductor Re6Zr
Electron Waiting Times of a Cooper Pair Splitter
Proposal of a spin-one chain model with competing dimer and trimer  interactions
Hybrid Particle-Continuum Simulations Coupling Brownian Dynamics and  Local Dynamic Density Functional Theory
Dry-transferred CVD graphene for inverted spin valve devices
3D Nanoporous Gold with Very Low Parting Limit Derived from Au-based  Metallic Glass and Enhanced Methanol Electro-oxidation Catalytic Performance
Two-fluid model for locomotion under self-confinement
Charge Localization and Ordering in A$_2$Mn$_8$O$_{16}$ Hollandite Group  Oxides: Impact of Density Functional Theory Approaches
Pinning, Rotation, and Metastability of BiFeO$_3$ Cycloidal Domains in a  Magnetic Field
Single crystal growth and physical properties of 50% electron doped  rhodate Sr$_{1.5}$La$_{0.5}$RhO$_{4}$
Self-consistent calculation of the flux-flow conductivity in diffusive  superconductors
Disordered Quantum Spin Chains with Long-Range Antiferromagnetic  Interactions
Analysis of non-Markovian coupling of a lattice-trapped atom to free  space
Nanoscale control of molecular self-assembly induced by plasmonic  hot-electron dynamics
Dimension Dependence of Clustering Dynamics in Models of Ballistic  Aggregation and Freely Cooling Granular Gas
Impurities or a neutral Fermi surface? A further examination of the  low-energy ac optical conductivity of SmB$_6$
Many-Body Atomic Speed Sensor in Lattices
Antiferromagnetic order in the Hubbard Model on the Penrose Lattice
Anderson localization transitions with and without random potentials
Magnetic properties of Co doped Nb clusters
Non-Reciprocal Thermal Material by Spatio-Temporal Modulation
$Z_N$ Berry Phases in Symmetry Protected Topological Phases
Weyl nodal surfaces
How Generic are the Robust Theoretical Aspects of Jamming in Hard Sphere  Models?
Origin of Charge Separation at Organic Photovoltaic Heterojunctions: A  Mesoscale Quantum Mechanical View
Non-equilibrium Green's function study of magneto-conductance features  and oscillations in clean and disordered nanowires
Pair-breaking quantum phase transition in superconducting nanowires
Mean-field theory of Bayesian clustering
Hidden edge Dirac point and robust quantum edge transport in InAs/GaSb  quantum wells
Room-temperature superparamagnetism due to giant magnetic anisotropy in  Mo$_{S}$ defected single-layer MoS$_{2}$
Unsupervised Generative Modeling Using Matrix Product States
