Half-filled Landau levels: a continuum and sign-free regularization for  3D quantum critical points
Braiding and Gapped Boundaries in Fracton Topological Phases
Optically trapped polariton condensates as semiclassical time crystals
Bayesian approach to extreme-value statistics based on conditional  maximum-entropy method
Out of Time Ordered Correlators and Entanglement Growth in the Random  Field XX Spin Chain
Coherence and density dynamics of excitons in a single-layer MoS$_2$  reaching the homogeneous limit
Flow-Arrest Transitions in Frictional Granular Matter
From frustrated magnetism to spontaneous Chern insulators
Piezoelectric conversion in TMDCs Heterostructure Atomic Layers
Observation of magnetic-field-sweep-direction-dependent dynamic nuclear  polarization under periodic optical electron spin pumping
Anisotropic strain induced soliton movement changes stacking order and  bandstructure of graphene multilayers
Quantum Spin Hall Effect and Spin Bott Index in a Quasicrystal Lattice
Theory of spin Bott index for quantum spin Hall states in non-periodic  systems
Novel insights on swelling and dehydration of Laponite RD
Pickering emulsions with alpha-cyclodextrin inclusions: Structure and  thermal stability
Dehydration, Dissolution and Melting of Cyclodextrin Crystals
Auto-assemblies of Alpha-Cyclodextrin and Grafted Polysaccharides:  Crystal Structure and Specific Properties of the Platelets
A Mg-pair isoelectronic bound exciton identified by its isotopic  fingerprint in $^{28}$Si
Robust operation of a GaAs tunable barrier electron pump
Target Search of a Protein on DNA in the Presence of Position-dependent  Bias
Short DNA persistence length in a mesoscopic helical model
Dynamics of the Anderson impurity model: benchmarking a non-adiabatic  exchange-correlation potential in time-dependent density functional theory
Proposal for a three-dimensional magnetic measurement method with  nanometer-scale depth resolution
Deeper penetration of surface effects on particle mobility than on  hopping rate in glassy polymer films
Interaction Driven Quantum Hall Wedding cake-like Structures in Graphene  Quantum Dots
Giant and anisotropic many-body spin-orbit tunability in a strongly  correlated kagome magnet
Nonequilibrium current-induced forces caused by quantum localization:  Anderson Adiabatic Quantum Motors
Highly-ordered wide bandgap materials for quantized anomalous Hall and  magnetoelectric effects
Perpendicular magnetic anisotropy in bulk and thin-film CuMnAs for  antiferromagnetic memory applications
Transport Spectroscopy of Sublattice-Resolved Resonant Scattering in  Hydrogen-Doped Bilayer Graphene
