Low-frequency dielectric response of a periodic array of charged spheres  in an electrolyte solution: The simple cubic lattice
Josephson Scanning Tunneling Spectroscopy in $d_{x^2-y^2}$-wave  superconductors: a probe for the nature of the pseudo-gap in the cuprate  superconductors
NOMAD 2018 Kaggle Competition: Solving Materials Science Challenges  Through Crowd Sourcing
Emergence of conduction band-induced semiconductor-to-metal transition  in ZrSe2 through Hf substitution
A theoretical study on the dynamics of a compound vesicle in linear  shear flow
Dipolar Collisions of Ultracold Ground-state Bosonic Molecules
On the Hohenberg-Mermin-Wagner theorem and its limitations
Fidelity reduction in Majorana qubits by entanglement with environmental  modes
Dislocation pattern formation in finite deformation crystal plasticity
Numerical observation of a glassy phase in the three-dimensional Coulomb  glass
Deep Levels and Mixed Conductivity in Organometallic Halide Perovskites
Zero-Threshold Rectification Using Low Energy Barrier Nano-Magnets
Photoinduced Dynamics of Commensurate Charge Density Wave in  1T-TaS$_{2}$ Based on Three-Orbital Hubbard Model
Why walking is easier than pointing: Hydrodynamics of dry active matter
Mean Transverse Energy of Ultrananocrystalline Diamond Photocathode
Novel Magnetic Block States in Low-Dimensional Iron-Based  Superconductors
Spin-Squeezing and Many-Body Dipolar Dynamics in Optical Lattice Clocks
Spin scattering and noncollinear spin structure-induced intrinsic  anomalous Hall effect in antiferromagnetic topological insulator  $\mathrm{MnBi_2Te_4}$
Typical growth behavior of the out-of-time-ordered commutator in  many-body localized systems
The four-body scale in universal few-boson systems
Hybrid Organic-Inorganic Perovskites as Promising Substrates for Pt  Single-Atom Catalysts
Magnetotrasport as a probe of phase transformations in metallic  antiferromagnets: the UIrSi$_3$ case
Fast recovery of the pristine magnetic and structural phases in  superconducting LaFeAsO$_{0.89}$F$_{0.11}$ by Mn/Fe substitution
Multiple Aging Mechanisms in Ferroelectric Deuterated Potassium  Dihydrogen Phosphate
Direct detection of induced magnetic moment and efficient spin-to-charge  conversion in graphene/ferromagnetic structures
Directional-dependent spin exchange between divacantly substituted Fe in  graphene
Quantum vortex reconnections: crossover from interaction to driven  regimes
Quantum pumping with adiabatically modulated barriers in three-band  pseudospin-1 Dirac-Weyl systems
Highly skewed current-phase relation in superconductor-topological  insulator-superconductor Josephson junctions
Inducing $n$- and $p$-type thermoelectricity in oxide superlattices by  strain tuning of orbital-selective transport resonances
Magnetic excitations in the quasi-2D ferromagnet Fe3-xGeTe2 measured  with inelastic neutron scattering
Current-driven dynamics of frustrated skyrmions in a synthetic  antiferromagnetic bilayer
Multiple pairing states and temperature-dependent gap anisotropy for  superconductivity near a nematic quantum-critical point
Raman spectroscopy of the low dimensional antiferromagnet with large  Neel temperature SrRu2O6
Engineering planar transverse domain walls in biaxial magnetic  nanostrips by tailoring transverse magnetic fields with uniform orientation
Functional-renormalization-group aided density-functional analysis for  the correlation energy of the two-dimensional homogeneous electron gas
Quantum plateaus in dynamical Hall conductivity
Self-stresses control stiffness and stability in overconstrained  disordered networks
Cluster Gutzwiller Monte Carlo approach for a critical dissipative spin  model
Artificial Life in an Exciton-Polariton Lattice
Suppressed out-of-plane polarizability of free excitons in monolayer  WSe$_{2}$
Numerical computation of rare events via large deviation theory
Non-equilibrium Spin-Hall Effect in Aluminum and Tungsten
Temperature dependent percolation mechanism for conductivity in  Y$_{0.63}$Ca$_{0.37}$TiO$_3$ revealed by a microstructure study
Spin decoherence independent of antiferromagnetic order in IrMn
Spectroscopic identification of conjugated polymeric phthalocyanines
Non-trivial Topological Phases on the Stuffed Honeycomb Lattice
Mn2V0.5Co0.5Z (Z= Ga, Al) Heusler alloys: Fully compensated ferrimagnets  with high Tc and compensation temperature
Microscopic theory of magnon-drag electron flow in ferromagnetic metals
Semimetallicity and Negative Differential Resistance from Hybrid Halide  Perovskite Nanowires
The effect of alternating current on the current states of a quantum  interferometer shunted by a superconducting inductance
Gapless odd-frequency superconductivity induced by the Sachdev-Ye-Kitaev  model
Comments on Van der Waals supercritical fluid: Exact formulas for  special lines [J. Chem. Phys. 135, 084503 (2011)]
Rheology in dense assemblies of spherocylinders: frictional vs.  frictionless
Derivation and applications of Landau-Lifshitz-Bloch equation for  antiferromagnets
Designing slower glasses by manipulating their local structure
Diffusion in generalized hydrodynamics and quasiparticle scattering
Boundary behaviours of open vesicles in axisymmetric case
Carbon nanotube field emission enhancement factors: links between  experiment, classical theory and DFT-based induced-charge theory
DFT and TDDFT calculation of lead chalcogenide clusters up to  (PbX)$_{32}$
Mean escape time for randomly switching narrow gates in a cellular flow
The Magnetic Properties of 1111-type Diluted Magnetic Semiconductor  (La$_{1-x}$Ba$_{x}$)(Zn$_{1-x}$Mn$_{x}$)AsO in the Low Doping Regime
Nontrivial Triplon Topology and Triplon Liquid in Kitaev-Heisenberg-type  Excitonic Magnets
Collective Dynamics and Atom Loss in Bright Soliton Matter Waves
A coalescence criterion for porous single crystals
Uncertainty quantification for classical effective potentials: an  extension to potfit
High-resolution neutron depolarization microscopy of the ferromagnetic  transitions in Ni$_3$Al and HgCr$_2$Se$_4$ under pressure
Field-controllable giant spin relaxation anisotropy in  (hBN)/graphene/hBN heterostructures
Divergence of predictive model output as indication of phase transitions
Symmetry and localization properties of defect modes in magnonic  superlattices
Topological Lifshitz transitions and native quenched disorder in  $1T$-TiSe$_2$
Proximity induced time-reversal topological superconductivity in Bi2Se3  films without phase tuning
Transient Spectroscopy of Glass-Embedded Perovskite Quantum Dots: Novel  Structures in an Old Wrapping
Chiral torsional effect
Atomic-scale investigation of hydrogen distribution in a Ti-Mo alloy
Landau diamagnetic response in metals as a Fermi surface effect
Spincaloritronic measurements: a round robin comparison of the  longitudinal spin Seebeck effect
Multipartite-Entanglement Dynamics in Regular-to-Ergodic Transition: a  Quantum-Fisher-Information approach
Product Spectrum Ansatz and the Simplicity of Thermal States
Magnetoelastic hybrid excitations in CeAuAl$_3$
First-Order Topological Quantum Phase Transition in a Strongly  Correlated Ladder
Actively crosslinked microtubule networks: mechanics, dynamics and  filament sliding
Universal cluster size distribution in a system of randomly spaced  particles
Antiferromagnetic self-ordering of a Fermi gas in a ring cavity
Quantum simulation: From basic principles to applications
Melting of a two-dimensional monodisperse cluster crystal to a cluster  liquid
Spin-Liquid-Like State in the Triangular Lattice Antiferromagnet TbInO3
Negative differential conductance effect and electrical anisotropy of 2D  ZrB2 monolayers
Effect of structure and composition on the electronic excitation induced  amorphization of La$_2$Ti$_{2-x}$Zr$_x$O$_7$ ceramics
Quantum interference in transport through almost symmetric double  quantum dots
Microscopic imaging of elastic deformation in diamond via in-situ stress  tensor sensors
Soft-particle lattice-gas in 1d: one- and two-component cases
Non-local topological electromagnetic phases of matter
Bayesian Hamiltonian Selection in X-ray Photoelectron Spectroscopy
Electric feedback cooling of single charged nanoparticles in an optical  trap
Optical excitation of single- and multi-mode magnetization precession in  Galfenol nanolayers
Effect of (Cu/Fe)O5 bipyramid size and separation on magnetic and  dielectric properties of rare earth layered perovskite LaBaCuFeO5 and  LuBaCuFeO5
Residual strain in free-standing CdTe nanowires overgrown with HgTe
Electric Toroidal Quadrupoles in Spin-Orbit Coupled Metal  Cd$_2$Re$_2$O$_7$
Plasmon Confinement by Carrier Density Modulation in Graphene
Triangle-Well and Ramp Interactions in One-Dimensional Fluids: A Fully  Analytic Exact Solution
Coupling between Quantum Hall Edge Channels on Opposite Sides of a Hall  Bar
Absolute Reference Energy to Realign the Band-edges of Inorganic  Semiconductors Using First-principles Calculations
Langevin equation for a particle in magnetic field is inconsistent with  equilibrium
High frequency impact ionization and nonlinearity of photocurrent  induced by intense terahertz radiation in HgTe-based quantum well structures
Quantum criticality on a chiral ladder: an $SU(2)$ iDMRG study
Excitonic complexes in anisotropic atomically thin two-dimensional  materials: black phosphorus and TiS$_3$
Spin transport in a charge current induced magnon Bose-Einstein  condensate at room temperature
Anomalous orbital moment in the ferromagnetic phase of the Sr4Ru3O10
Incommensurate Chiral CDW in $1T$-VSe$_2$
Oriented Active Solids
Nematic superconductivity in doped Bi2Se3 topological superconductors
On the extraction of resistivity and area of nanoscale interconnect  lines by temperature-dependent resistance measurements
Electric noise spectra of a near-surface nitrogen vacancy center diamond  with a protective layer
Linear and Non-linear Magneto-dielectric Study on Ca3Mn2O7 Layered  Perovskite
Klein tunnelling and Hartman effect in graphene junctions with proximity  exchange field
Electrical detection of the Majorana fusion rule for chiral edge  vortices in a topological superconductor
A minimal tight-binding model for the quasi-one-dimensional  superconductor K2Cr3As3
Nonlinear transport coefficients from large deviation functions
On the competition between dislocation transmission and crack nucleation  at phase boundaries
Intricate modulation of interlayer coupling at GO/MoSe2 interface:  application in time-dependent optics and device transport
Crystal Growth and Doping Control of HgBa2CuO4+δ, the Model  Compound for High-Tc Superconductors
Lattice dynamics of palladium in the presence of electronic correlations
Phase transition encoded in neural network
A- and B-Exciton Photoluminescence Intensity Ratio as a Measure of  Sample Quality for Transition Metal Dichalcogenide Monolayers
Superconductivity at 250 K in lanthanum hydride under high pressures
Imaging at the mesoscale (LEEM, PEEM)
Foliated Field Theory and String-Membrane-Net Condensation Picture of  Fracton Order
Large Stark Tuning of InAs/InP Quantum Dots
